Tªn M·o	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	Sè trang bÞ	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dÞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66
B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n	0	103	26142	30	20000	0	200	23;23					26142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n<color><enter>B¹ch Mi ¦ng V­¬ng ®¹i nghÜa lÉm nhiªn, thiÕt huyÕt ®¬n t©m, ®­îc x­ng lµ hãa th©n cña Quang Minh, C©n cña y ®­îc ®Æt tªn theo Quang Minh	¿ýÎàÄÐÍ·²¿013	§· khãa		9	2	1	26	0	999																																																																						
B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n	0	103	26143	30	20000	0	200	23;23					26143	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n<color><enter>B¹ch Mi ¦ng V­¬ng ®¹i nghÜa lÉm nhiªn, thiÕt huyÕt ®¬n t©m, ®­îc x­ng lµ hãa th©n cña Quang Minh, C©n cña y ®­îc ®Æt tªn theo Quang Minh	ÐÔ¸ÐÅ®Í·²¿021	§· khãa		9	2	1	26	0	999																																																																						
B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n	0	103	26144	30	20000	0	200	23;23					26144	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n<color><enter>B¹ch Mi ¦ng V­¬ng ®¹i nghÜa lÉm nhiªn, thiÕt huyÕt ®¬n t©m, ®­îc x­ng lµ hãa th©n cña Quang Minh, C©n cña y ®­îc ®Æt tªn theo Quang Minh	½¿Ð¡Å®Í·²¿008	§· khãa		9	2	1	26	0	999																																																																						
Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n	0	103	27141	30	20000	0	200	23;23					27141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n<color><enter> Thanh Dùc Bøc V­¬ng dùa vµo hót sinh lùc ®Ó hãa gi¶i ®éc hµn trong c¬ thÓ, nghe ®Õn tªn y kh«ng l¹nh mµ run, ®Çu kh«i cña y ®Æt tªn theo Hµn HuyÕt	±ê×¼ÄÐÍ·²¿004	§· khãa		9	2	1	27	0	999																																																																						
Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n	0	103	27142	30	20000	0	200	23;23					27142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n<color><enter> Thanh Dùc Bøc V­¬ng dùa vµo hót sinh lùc ®Ó hãa gi¶i ®éc hµn trong c¬ thÓ, nghe ®Õn tªn y kh«ng l¹nh mµ run, ®Çu kh«i cña y ®Æt tªn theo Hµn HuyÕt	¿ýÎàÄÐÍ·²¿013	§· khãa		9	2	1	27	0	999																																																																						
Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n	0	103	27143	30	20000	0	200	23;23					27143	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n<color><enter> Thanh Dùc Bøc V­¬ng dùa vµo hót sinh lùc ®Ó hãa gi¶i ®éc hµn trong c¬ thÓ, nghe ®Õn tªn y kh«ng l¹nh mµ run, ®Çu kh«i cña y ®Æt tªn theo Hµn HuyÕt	ÐÔ¸ÐÅ®Í·²¿021	§· khãa		9	2	1	27	0	999																																																																						
Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n	0	103	27144	30	20000	0	200	23;23					27144	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n<color><enter> Thanh Dùc Bøc V­¬ng dùa vµo hót sinh lùc ®Ó hãa gi¶i ®éc hµn trong c¬ thÓ, nghe ®Õn tªn y kh«ng l¹nh mµ run, ®Çu kh«i cña y ®Æt tªn theo Hµn HuyÕt	½¿Ð¡Å®Í·²¿008	§· khãa		9	2	1	27	0	999																																																																						
B¸ch Hoa T«n Gi¶ - Ng©n T©m Ph¸t Søc	0	103	29141	30	40000	0	200	23;23					29141	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>B¸ch Hoa T«n Gi¶ - Ng©n T©m Ph¸t Søc<color><enter>Khi B¸ch Hoa T«n gi¶ hiÖn th©n, tr¨m hoa ®ua në, b¸ch ®iÓu tÒ minh, nghinh phong khëi vò. Tªn lµ Ng©n T©m	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	29	0																																																																							
B¸ch Hoa T«n Gi¶ - Ng©n T©m Ph¸t Søc	0	103	29142	30	40000	0	200	23;23					29142	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>B¸ch Hoa T«n Gi¶ - Ng©n T©m Ph¸t Søc<color><enter>Khi B¸ch Hoa T«n gi¶ hiÖn th©n, tr¨m hoa ®ua në, b¸ch ®iÓu tÒ minh, nghinh phong khëi vò. Tªn lµ Ng©n T©m	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	29	0																																																																							
Linh §éng T«n Gi¶ - Khª V©n Ph¸t Tr©m	0	103	30141	30	40000	0	200	23;23					30141	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Linh §éng T«n Gi¶ - Khª V©n Ph¸t Tr©m<color><enter>Vò Hån Linh §éng T«n Gi¶, d¸ng vÎ th­ít tha uyÓn chuyÓn, ®©y chÝnh lµ tr©m tãc th­êng cµi, tªn lµ Khª V©n.	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	30	0																																																																							
Linh §éng T«n Gi¶ - Khª V©n Ph¸t Tr©m	0	103	30142	30	40000	0	200	23;23					30142	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Linh §éng T«n Gi¶ - Khª V©n Ph¸t Tr©m<color><enter>Vò Hån Linh §éng T«n Gi¶, d¸ng vÎ th­ít tha uyÓn chuyÓn, ®©y chÝnh lµ tr©m tãc th­êng cµi, tªn lµ Khª V©n.	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	30	0																																																																							
Viªm §Õ kh«i	0	103	8001	30	30000	0	200	20;20					80001	70	1	1		\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Viªm §Õ kh«i<color><enter>Viªm §Õ x­a kia tõng sö dông.	±ê×¼ÄÐ»Æ½ð¿ø	§· khãa		9	0	1		0																																																																							
Viªm §Õ kh«i	0	103	8002	30	30000	0	200	20;20					80002	70	1	2		\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Viªm §Õ kh«i<color><enter>Viªm §Õ x­a kia tõng sö dông.	¿ýÎàÄÐ»Æ½ð¿ø	§· khãa		9	0	1		0																																																																							
Viªm §Õ kh«i	0	103	8003	30	30000	0	200	20;20					80003	70	2	3		\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Viªm §Õ kh«i<color><enter>Viªm §Õ x­a kia tõng sö dông.	ÐÔ¸ÐÅ®»Æ½ð¿ø	§· khãa		9	0	1		0																																																																							
Viªm §Õ kh«i	0	103	8004	30	30000	0	200	20;20					80004	70	2	4		\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Viªm §Õ kh«i<color><enter>Viªm §Õ x­a kia tõng sö dông.	½¿Ð¡Å®»Æ½ð¿ø	§· khãa		9	0	1		0																																																																							
Tèng §« Thèng chiÕn kh«i	0	103	2231	30	0	0	100	30;30					22031	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	<color=gold>Tèng §« Thèng chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄÐÍ·²¿018	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0																																																																							
Tèng §« Thèng chiÕn kh«i	0	103	2232	30	0	0	100	30;30					22032	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	<color=gold>Tèng §« Thèng chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ýÎàÄÐÍ·²¿007	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0																																																																							
Tèng §« Thèng chiÕn kh«i	0	103	2233	30	0	0	100	30;30					22033	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	<color=gold>Tèng §« Thèng chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ÐÔ¸ÐÅ®Í·²¿036	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0																																																																							
Tèng §« Thèng chiÕn kh«i	0	103	2234	30	0	0	100	30;30					22034	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	<color=gold>Tèng §« Thèng chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ð¡Å®Í·²¿014	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0																																																																							
Liªu §« Thèng chiÕn kh«i	0	103	2235	30	0	0	100	30;30					22035	75	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	<color=gold>Liªu §« Thèng chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄÐÍ·²¿018	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0																																																																							
Liªu §« Thèng chiÕn kh«i	0	103	2236	30	0	0	100	30;30					22036	75	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	<color=gold>Liªu §« Thèng chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ýÎàÄÐÍ·²¿007	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0																																																																							
Liªu §« Thèng chiÕn kh«i	0	103	2237	30	0	0	100	30;30					22037	75	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	<color=gold>Liªu §« Thèng chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ÐÔ¸ÐÅ®Í·²¿036	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0																																																																							
Liªu §« Thèng chiÕn kh«i	0	103	2238	30	0	0	100	30;30					22038	75	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	<color=gold>Liªu §« Thèng chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ð¡Å®Í·²¿014	§· khãa	\script\newbattles\battle_equipment_item.lua	8	2	1		0																																																																							
Tèng T­íng Qu©n chiÕn kh«i	0	103	2241	30	200000	0	120	35;35					22041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Tèng T­íng Qu©n chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄÐ»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0																																																																							
Tèng T­íng Qu©n chiÕn kh«i	0	103	2242	30	200000	0	120	35;35					22042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Tèng T­íng Qu©n chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ýÎàÄÐ»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0																																																																							
Tèng T­íng Qu©n chiÕn kh«i	0	103	2243	30	200000	0	120	35;35					22043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Tèng T­íng Qu©n chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ÐÔ¸ÐÅ®»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0																																																																							
Tèng T­íng Qu©n chiÕn kh«i	0	103	2244	30	200000	0	120	35;35					22044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Tèng T­íng Qu©n chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ð¡Å®»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0																																																																							
Liªu T­íng Qu©n chiÕn kh«i	0	103	2245	30	200000	0	120	35;35					22045	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Liªu T­íng Qu©n chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄÐ»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0																																																																							
Liªu T­íng Qu©n chiÕn kh«i	0	103	2246	30	200000	0	120	35;35					22046	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Liªu T­íng Qu©n chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ýÎàÄÐ»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0																																																																							
Liªu T­íng Qu©n chiÕn kh«i	0	103	2247	30	200000	0	120	35;35					22047	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Liªu T­íng Qu©n chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ÐÔ¸ÐÅ®»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0																																																																							
Liªu T­íng Qu©n chiÕn kh«i	0	103	2248	30	200000	0	120	35;35					22048	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Liªu T­íng Qu©n chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ð¡Å®»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	9	1	1		0																																																																							
Tèng Nguyªn So¸i chiÕn kh«i	0	103	2251	30	500000	0	150	40;40					22051	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Tèng Nguyªn So¸i chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄÐ»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0																																																																							
Tèng Nguyªn So¸i chiÕn kh«i	0	103	2252	30	500000	0	150	40;40					22052	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Tèng Nguyªn So¸i chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ýÎàÄÐ»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0																																																																							
Tèng Nguyªn So¸i chiÕn kh«i	0	103	2253	30	500000	0	150	40;40					22053	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Tèng Nguyªn So¸i chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ÐÔ¸ÐÅ®»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0																																																																							
Tèng Nguyªn So¸i chiÕn kh«i	0	103	2254	30	500000	0	150	40;40					22054	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Tèng Nguyªn So¸i chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ð¡Å®»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0																																																																							
Liªu Nguyªn So¸i chiÕn kh«i	0	103	2255	30	500000	0	150	40;40					22055	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Liªu Nguyªn So¸i chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	±ê×¼ÄÐ»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0																																																																							
Liªu Nguyªn So¸i chiÕn kh«i	0	103	2256	30	500000	0	150	40;40					22056	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\ÄÐ»Æ½ð¿øa1.spr	\image\item\cap\ÄÐ»Æ½ð¿øa0.spr	<color=gold>Liªu Nguyªn So¸i chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	¿ýÎàÄÐ»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0																																																																							
Liªu Nguyªn So¸i chiÕn kh«i	0	103	2257	30	500000	0	150	40;40					22057	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Liªu Nguyªn So¸i chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	ÐÔ¸ÐÅ®»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0																																																																							
Liªu Nguyªn So¸i chiÕn kh«i	0	103	2258	30	500000	0	150	40;40					22058	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\Å®»Æ½ð¿øa1.spr	\image\item\cap\Å®»Æ½ð¿øa0.spr	<color=gold>Liªu Nguyªn So¸i chiÕn kh«i<color><enter>Hoµng ®Õ ban ph¸t, biÓu d­¬ng chiÕn c«ng hiÓn h¸ch n¬i sa tr­êng.	½¿Ð¡Å®»Æ½ð¿ø	§· khãa	\script\newbattles\battle_equipment_item.lua	10	1	1		0																																																																							
Tö Quang M¹o	0	103	2351	70	14000	0	180	25;25					2351	70	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	<color=gold>Tö Quang M¹o<color><enter>Tö Quang C¸c phæ th«ng hé gi¸p	±ê×¼ÄÐÍ·²¿002	§· khãa		7	2	1		0																																																																							
Tö Quang M¹o	0	103	2352	70	14000	0	180	25;25					2352	70	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	<color=gold>Tö Quang M¹o<color><enter>Tö Quang C¸c phæ th«ng hé gi¸p	¿ýÎàÄÐÍ·²¿001	§· khãa		7	2	1		0																																																																							
Tö Quang M¹o	0	103	2353	70	14000	0	180	25;25					2353	70	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	<color=gold>Tö Quang M¹o<color><enter>Tö Quang C¸c phæ th«ng hé gi¸p	ÐÔ¸ÐÅ®Í·²¿019	§· khãa		7	2	1		0																																																																							
Tö Quang M¹o	0	103	2354	70	14000	0	180	25;25					2354	70	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	<color=gold>Tö Quang M¹o<color><enter>Tö Quang C¸c phæ th«ng hé gi¸p	½¿Ð¡Å®Í·²¿005	§· khãa		7	2	1		0																																																																							
Tö Quang ChiÕn Kh«i	0	103	2355	80	30000	0	200	30;30					12355	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	<color=gold>Tö Quang ChiÕn Kh«i<color><enter>Tö Quang C¸c dµy c«ng chÕ t¹o chiÕn kh«i, cã thÓ n©ng n¨ng lùc lªn møc cao nhÊt	±ê×¼ÄÐÍ·²¿018			8	2	1		0																																																																							
Tö Quang ChiÕn Kh«i	0	103	2356	80	30000	0	200	30;30					12356	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	<color=gold>Tö Quang ChiÕn Kh«i<color><enter>Tö Quang C¸c dµy c«ng chÕ t¹o chiÕn kh«i, cã thÓ n©ng n¨ng lùc lªn møc cao nhÊt	¿ýÎàÄÐÍ·²¿007			8	2	1		0																																																																							
Tö Quang ChiÕn Kh«i	0	103	2357	80	30000	0	200	30;30					12357	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	<color=gold>Tö Quang ChiÕn Kh«i<color><enter>Tö Quang C¸c dµy c«ng chÕ t¹o chiÕn kh«i, cã thÓ n©ng n¨ng lùc lªn møc cao nhÊt	ÐÔ¸ÐÅ®Í·²¿036			8	2	1		0																																																																							
Tö Quang ChiÕn Kh«i	0	103	2358	80	30000	0	200	30;30					12358	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	<color=gold>Tö Quang ChiÕn Kh«i<color><enter>Tö Quang C¸c dµy c«ng chÕ t¹o chiÕn kh«i, cã thÓ n©ng n¨ng lùc lªn møc cao nhÊt	½¿Ð¡Å®Í·²¿014			8	2	1		0																																																																							
Tö Quang ChiÕn Kh«i	0	103	2359	80	30000	0	200	30;30					12359	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	<color=gold>Tö Quang ChiÕn Kh«i<color><enter>Tö Quang C¸c dµy c«ng chÕ t¹o chiÕn kh«i, cã thÓ n©ng n¨ng lùc lªn møc cao nhÊt	±ê×¼ÄÐÍ·²¿018			8	2	1		0																																																																							
