Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)2	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
§¹i §Şnh Hån 	2	1	1113	1	200000	1												\image\item\other\Ç¿»¯¾«Ê¯ 36.spr	\image\item\other\Ç¿»¯¾«Ê¯.spr	<color=gold>§¹i §Şnh Hån <color><enter>Tinh Hoa Thiªn Th¹ch ®­îc M¹c Gia §¹i S­ tinh luyÖn. <enter><color=Gold> (Vò khİ c­êng hãa ®Õn cÊp 10 khi thÊt b¹i sÏ trë vÒ cÊp 10, ®­îc sö dông t¹i thî rÌn L­u)		ThÇn bİ		1	0	1							
Qu©n C«ng Ch­¬ng	2	1	9999	1	1000	1												\image\item\other\¾ü¹¦ÕÂ(x).spr	\image\item\other\¾ü¹¦ÕÂ(d).spr	<color=gold>Qu©n C«ng Ch­¬ng<color><enter>T¨ng gÊp 2 ®iÓm c«ng tr¹ng vµ mét sè ®iÓm kinh nghiÖm nhÊt ®Şnh khi nhËn th­ëng<color=Gold>(ChØ dïng ®­îc 1 lÇn)		ThÇn bİ	\script\item\item_jungongzhang.lua	1	0	1							
Qu©n C«ng §¹i	2	1	9998	1	2000	1												\image\item\other\´ó¾ü¹¦ÕÂ(x).spr	\image\item\other\´ó¾ü¹¦ÕÂ(d).spr	<color=gold>Qu©n C«ng §¹i<color><enter>T¨ng gÊp 5 ®iÓm c«ng tr¹ng vµ mét sè ®iÓm kinh nghiÖm nhÊt ®Şnh khi nhËn th­ëng<color=Gold>(ChØ dïng ®­îc 1 lÇn)		ThÇn bİ	\script\item\item_jungongzhang.lua	1	0	1							
Qu©n C«ng Huy Hoµng	2	1	9977	1	3000	1												\image\item\other\»Ô»Í¾ü¹¦ÕÂ(x).spr	\image\item\other\»Ô»Í¾ü¹¦ÕÂ(d).spr	<color=gold>Qu©n C«ng Huy Hoµng<color><enter>T¨ng gÊp 10 ®iÓm c«ng tr¹ng vµ mét sè ®iÓm kinh nghiÖm nhÊt ®Şnh khi nhËn th­ëng<color=Gold>(ChØ dïng ®­îc 1 lÇn)		ThÇn bİ	\script\item\item_jungongzhang.lua	1	0	1							
Qu©n C«ng bµi	2	1	9997	1	4000	1												\image\item\other\¾ü¼¨ÅÆ(x).spr	\image\item\other\¾ü¼¨ÅÆ(d).spr	<color=gold>Qu©n C«ng bµi<color><enter>Sau khi sö dông trùc tiÕp nhËn ®­îc 1000 ®iÓm tİch lòy chiÕn tr­êng.		ThÇn bİ	\script\item\item_billing\junjipai.lua	1	0	1							
Gi¸n §iÖp trang	2	1	9995	1	5000	1												\image\item\other\quest_004a1.spr	\image\item\other\quest_004a0.spr	<color=gold>Gi¸n §iÖp trang<color><enter>Dïng ®Ó tham gia chiÕn tr­êng phe kh¸c<color=Gold> (sö dông vËt phÈm nµy bÊt kÓ tham gia phe nµo còng ®Òu nhËn ®­îc phÇn th­ëng ) 		ThÇn bİ	\script\item\item_billing\jiandiezhuangshu.lua	1	0	1							
H¾c Ngäc §o¹n Tôc CaochiÕn tr­êng	2	1	9994	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>H¾c Ngäc §o¹n Tôc CaochiÕn tr­êng<color><enter>1 bao H¾c Ngäc §o¹n Tôc Cao (chiÕn tr­êng). <enter><color=Gold>(Chøa 100 H¾c Ngäc §o¹n Tôc Cao)		ThÇn bİ	\script\item\item_billing\zhanchangyaobao.lua	1	0	1							
Sinh Sinh Hãa T¸n (chiÕn tr­êng)	2	1	9993	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>Sinh Sinh Hãa T¸n (chiÕn tr­êng)<color><enter>1 bao Sinh Sinh Hãa T¸n (chiÕn tr­êng). <enter><color=Gold>(Chøa 100 Sinh Sinh Hãa T¸n)		ThÇn bİ	\script\item\item_billing\zhanchangyaobao.lua	1	0	1							
V¹n VËt Quy Nguyªn §¬n_ct	2	1	9992	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>V¹n VËt Quy Nguyªn §¬n_ct<color><enter>1 bao V¹n VËt Quy Nguyªn §¬n (chiÕn tr­êng). <enter><color=Gold>(Chøa 100 V¹n VËt Quy Nguyªn §¬n)		ThÇn bİ	\script\item\item_billing\zhanchangyaobao.lua	1	0	1							
Cöu ChuyÓn Håi Hån §¬n(c.truong)	2	1	9991	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>Cöu ChuyÓn Håi Hån §¬n(c.truong)<color><enter>1 bao Cöu ChuyÓn Hoµn Hån §¬n (chiÕn tr­êng). <enter><color=Gold>(Chøa 100 Cöu ChuyÓn Hoµn Hån §¬n)		ThÇn bİ	\script\item\item_billing\zhanchangyaobao.lua	1	0	1							
Phong th­ëng lÖnh_Tèng (HiÖu óy)	2	1	9990	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Tèng (HiÖu óy)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, sinh lùc tèi ®a t¨ng 5%, Èn h×nh t¨ng 3%. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Tèng HiÖu óy)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnh_Liªu (HiÖu óy)	2	1	9989	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Liªu (HiÖu óy)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, sinh lùc tèi ®a t¨ng 5%, Èn h×nh t¨ng 3%. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Liªu HiÖu óy)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnh_Tèng (§« Thèng)	2	1	9988	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Tèng (§« Thèng)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, sinh lùc tèi ®a t¨ng 8%, Èn h×nh t¨ng 5%. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Tèng §« Thèng)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnh_Liªu (§« Thèng)	2	1	9987	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Liªu (§« Thèng)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, sinh lùc tèi ®a t¨ng 8%, Èn h×nh t¨ng 5%. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Liªu §« Thèng)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnh_Tèng(Tiªn Phong)	2	1	9986	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Tèng(Tiªn Phong)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, tÊt c¶ thuéc tİnh t¨ng 20 ®iÓm, Èn h×nh t¨ng 12 ®iÓm. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Tèng Tiªn Phong)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnh_Liªu(Tiªn Phong)	2	1	9985	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Liªu(Tiªn Phong)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, tÊt c¶ thuéc tİnh t¨ng 20 ®iÓm, Èn h×nh t¨ng 12 ®iÓm. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Liªu Tiªn Phong)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnhTèng(T­íngQu©n)	2	1	9984	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnhTèng(T­íngQu©n)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, néi, ngo¹i c«ng t¨ng 10%, Èn h×nh t¨ng 6%. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Tèng T­íng Qu©n)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnh_Liªu(T qu©n)	2	1	9983	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Liªu(T qu©n)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, néi, ngo¹i c«ng t¨ng 10%, Èn h×nh t¨ng 6%. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Liªu T­íng Qu©n)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnh_Tèng(NguyªnSo¸i	2	1	9982	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Tèng(NguyªnSo¸i<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, tèc ®é xuÊt chiªu t¨ng 25%, Èn h×nh t¨ng 15%. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Tèng Nguyªn So¸i)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Phong th­ëng lÖnh_Liªu(NguyªnSo¸i)	2	1	9981	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phong th­ëng lÖnh_Liªu(NguyªnSo¸i)<color><enter>Phong th­ëng lÖnh cña hoµng ®Õ, tèc ®é xuÊt chiªu t¨ng 25%, Èn h×nh t¨ng 15%. <enter><color=Gold>(HiÖu qu¶ 1 th¸ng, qu©n hµm yªu cÇu: Liªu Nguyªn So¸i)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei.lua	1	0	1							
Ngù §Şch M·nh SÜ mËt lÖnh	2	1	9960	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Ngù §Şch M·nh SÜ mËt lÖnh<color><enter>TÊt c¶ thuéc tİnh t¨ng 40 ®iÓm, Nguyªn so¸i vÜnh c÷u sö dông trùc tiÕp, cã thÓ céng dån víi Phong th­ëng lÖnh vµ mËt lÖnh kh¸c<color=Gold> (Chuét ph¶i sö dông, hiÖu qu¶ 1 th¸ng, qu©n c«ng cÇn: 25 v¹n)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei2.lua	1	0	1							
Ph¸ TrËn §èc Hé mËt lÖnh	2	1	9961	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Ph¸ TrËn §èc Hé mËt lÖnh<color><enter>T¨ng néi ngo¹i c«ng 15% hoÆc s¸t th­¬ng 100 ®iÓm, Nguyªn so¸i vÜnh c÷u sö dông trùc tiÕp, cã thÓ céng dån víi Phong th­ëng lÖnh vµ mËt lÖnh kh¸c<color=Gold> (Chuét ph¶i sö dông, hiÖu qu¶ 1 th¸ng, qu©n c«ng cÇn: 30 v¹n)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei2.lua	1	0	1							
ThiÕt Cèt Long VÖ mËt lÖnh	2	1	9962	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>ThiÕt Cèt Long VÖ mËt lÖnh<color><enter>TÊt c¶ thuéc tİnh t¨ng 60 ®iÓm, cã thÓ céng dån víi Phong th­ëng lÖnh vµ mËt lÖnh kh¸c.<color=Gold> (Chuét ph¶i sö dông, hiÖu qu¶ 1 th¸ng, qu©n c«ng cÇn: 40 v¹n)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei2.lua	1	0	1							
TrÊn Qu©n Hæ Kş mËt lÖnh	2	1	9963	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>TrÊn Qu©n Hæ Kş mËt lÖnh<color><enter>T¨ng tû lÖ gi¶m thä th­¬ng 25%, cã thÓ céng dån víi Phong th­ëng lÖnh vµ mËt lÖnh kh¸c.<color=Gold> (Chuét ph¶i sö dông, hiÖu qu¶ 1 th¸ng, qu©n c«ng cÇn: 45 v¹n)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei2.lua	1	0	1							
V« Song Phi T­íng mËt lÖnh	2	1	9964	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>V« Song Phi T­íng mËt lÖnh<color><enter>T¨ng sinh lùc tèi ®a 10000 ®iÓm, cã thÓ céng dån víi Phong th­ëng lÖnh vµ mËt lÖnh kh¸c.<color=Gold> (Chuét ph¶i sö dông, hiÖu qu¶ 1 th¸ng, qu©n c«ng cÇn: 50#ß)		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei2.lua	1	0	1							
 TriÒu th¸nh thèng so¸i lÖnh	2	1	9965	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold> TriÒu th¸nh thèng so¸i lÖnh<color><enter>Gi¶m thä th­¬ng 70%, cã thÓ trïng lÆp víi phong th­ëng lÖnh hoÆc c¸c mËt lÖnh kh¸c.<color=Gold> (nhÊp chuét ph¶i sö dông, cã hiÖu lùc mét th¸ng, cÇn: 60v¹n qu©n c«ng) 		ThÇn bİ	\script\item\item_billing\chenghao\zhanchanglei2.lua	1	0	1							
§Çu thµnh tİn	2	1	9980	1	0	1												\image\item\other\Í¶³ÏĞÅ(x).spr	\image\item\other\Í¶³ÏĞÅ(d).spr	<color=gold>§Çu thµnh tİn<color><enter>Xãa bá tÊt c¶ c«ng tr¹ng hiÖn t¹i, nhiÒu nhÊt cã thÓ chuyÓn thµnh 15000 ®iÓm c«ng tr¹ng ®èi ph­¬ng.<enter><color=gold> Sau khi sö dông, ®iÓm c«ng tr¹ng lµ 0 ( kh«ng thÓ sö dông hai c¸i chuyÓn 30000) 		ThÇn bİ	\script\item\item_billing\touchen.lua	1	0	1							
§Çu thµnh th­	2	1	9979	1	0	1												\image\item\other\Í¶³ÏÊé(x).spr	\image\item\other\Í¶³ÏÊé(d).spr	<color=gold>§Çu thµnh th­<color><enter>Xãa bá tÊt c¶ c«ng tr¹ng hiÖn t¹i, nhiÒu nhÊt cã thÓ chuyÓn thµnh 50000 ®iÓm c«ng tr¹ng ®èi ph­¬ng. <enter><color=gold> sau khi sö dông, ®iÓm c«ng tr¹ng vÒ 0 (kh«ng thÓ sö dông hai c¸i chuyÓn thµnh 100000)		ThÇn bİ	\script\item\item_billing\touchen.lua	1	0	1							
§Çu thµnh biÓu	2	1	9978	1	0	1												\image\item\other\Í¶³Ï±í(x).spr	\image\item\other\Í¶³Ï±í(d).spr	<color=gold>§Çu thµnh biÓu<color><enter>Xãa bá tÊt c¶ c«ng tr¹ng hiÖn t¹i, nhiÒu nhÊt cã thÓ chuyÓn thµnh 120000 ®iÓm c«ng tr¹ng ®èi ph­¬ng.<enter><color=gold> Sau khi sö dông ®iÓm c«ng tr¹ng vÒ 0 (kh«ng thÓ sö dông hai c¸i chuyÓn 240000) 		ThÇn bİ	\script\item\item_billing\touchen.lua	1	0	1							
ChØ nam ho¹t ®éng 1/5	2	1	1114	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>ChØ nam ho¹t ®éng 1/5<color><enter>Ghi l¹i néi dung ho¹t ®éng 1/5.		§· khãa	\script\online\laborday08\item\2008_book.lua		0	0							
§ång tèng	2	1	1118	1	1	9999												\image\item\other\ôÕ×Ó_a1.spr	\image\item\other\ôÕ×Ó_a0.spr	<color=gold>§ång tèng<color><enter>Thêi Xu©n Thu, dïng èng tróc dån g¹o n­íng chİn, gäi lµ \'B¸nh èng\'.		§· khãa		1	2	1							
Bµnh İt Hµm Thñy	2	1	1119	1	1	9999												\image\item\other\ôÕ×Ó_a1.spr	\image\item\other\ôÕ×Ó_a0.spr	<color=gold>Bµnh İt Hµm Thñy<color><enter>Cuèi §«ng H¸n, dïng l¸ c« gãi lóa nÕp thµnh h×nh vu«ng, ch­ng lªn thµnh B¸nh İt kiÒm Qu¶ng §«ng.		§· khãa		1	2	1							
İch Trİ Tèng	2	1	1120	1	1	9999												\image\item\other\ôÕ×Ó_a1.spr	\image\item\other\ôÕ×Ó_a0.spr	<color=gold>İch Trİ Tèng<color><enter>Thêi TÊn, gãi b¸nh İt ngoµi g¹o ra cßn thªm İch Trİ Nh©n, nªn gäi lµ \'B¸nh İch Trİ\'.		§· khãa		1	2	1							
B¸nh İt §Ëu ®á	2	1	1121	1	1	9999												\image\item\other\ôÕ×Ó_a1.spr	\image\item\other\ôÕ×Ó_a0.spr	<color=gold>B¸nh İt §Ëu ®á<color><enter>Thêi Nam B¾c TriÒu, trong b¸nh İt thªm h¹t dÎ, t¸o ®á, ®Ëu ®á dïng lµm quµ th¨m hái.		§· khãa		1	2	1							
b¸nh İt g¹o tr¾ng	2	1	1122	1	1	9999												\image\item\other\ôÕ×Ó_a1.spr	\image\item\other\ôÕ×Ó_a0.spr	<color=gold>b¸nh İt g¹o tr¾ng<color><enter>NhÊp chuét ph¶i cã thÓ ®æi 'b¸nh İt g¹o th¬m' 		§· khãa	\script\online\dragon_boat_07\zongzi_baimi.lua	1	2	1							
B¸nh İt Ng·i h­¬ng	2	1	1123	1	1	999												\image\item\other\¸ß¼¶ôÕ×Óa1.spr	\image\item\other\¸ß¼¶ôÕ×Óa0.spr	<color=gold>B¸nh İt Ng·i h­¬ng<color><enter>Thêi Tèng, cã \'B¸nh İt Ng·i H­¬ng\'. (Chuét ph¶i sö dông, nhËn ®­îc kinh nghiÖm, mçi ngµy dïng 5 lÇn)		ThÇn bİ	\script\item\zong_zi_07.lua	1	0	1							
b¸nh İt ch©n gµ	2	1	1124	1	1	999												\image\item\other\¸ß¼¶ôÕ×Óa1.spr	\image\item\other\¸ß¼¶ôÕ×Óa0.spr	<color=gold>b¸nh İt ch©n gµ<color><enter>Thêi Thanh, xuÊt hiÖn \'B¸nh İt thŞ n­íng\'. (Chuét ph¶i sö dông, sinh lùc tèi ®a t¨ng 30%, duy tr× 10 phót)		§· khãa	\script\item\zong_zi_07.lua	1	2	1							
b¸nh İt B¸c B¶o	2	1	1125	1	1	999												\image\item\other\¸ß¼¶ôÕ×Óa1.spr	\image\item\other\¸ß¼¶ôÕ×Óa0.spr	<color=gold>b¸nh İt B¸c B¶o<color><enter>B¸nh İt B¸t Böu §µi Loan, mïi vŞ th¬m ngon. (Chuét ph¶i sö dông, tÊt c¶ n¨ng lùc t¨ng 60 ®iÓm, duy tr× 3 phót)		§· khãa	\script\item\zong_zi_07.lua	1	2	1							
b¸nh İt vui vÎ	2	1	1126	1	1	1												\image\item\other\¸ß¼¶ôÕ×Óa1.spr	\image\item\other\¸ß¼¶ôÕ×Óa0.spr	<color=gold>b¸nh İt vui vÎ<color><enter>B¸nh İt vui vÎ trong truyÒn thuyÕt. (Dïng tÕ b¸i chç Di téc Së quèc)		§· khãa		1	2	1							
b¸nh İt may m¾n	2	1	1127	1	1	1												\image\item\other\¸ß¼¶ôÕ×Óa1.spr	\image\item\other\¸ß¼¶ôÕ×Óa0.spr	<color=gold>b¸nh İt may m¾n<color><enter>B¸nh İt may m¾n trong truyÒn thuyÕt. (Dïng tÕ b¸i chç Di téc Së quèc)		§· khãa		1	2	1							
b¸nh İt th¹ch anh	2	1	1128	1	1	1												\image\item\other\¸ß¼¶ôÕ×Óa1.spr	\image\item\other\¸ß¼¶ôÕ×Óa0.spr	<color=gold>b¸nh İt th¹ch anh<color><enter>B¸nh İt thñy tinh, kh«ng gièng vËt phµm trÇn. (Dïng tÕ b¸i chç Di téc Së quèc)		§· khãa		1	2	1							
Tóc MÔ	2	1	1129	1	1	9999												\image\item\other\ËÚÃ×a1.spr	\image\item\other\ËÚÃ×a0.spr	<color=gold>Tóc MÔ<color><enter>Mét trong vËt lµm n«ng sím nhÊt, vËt liÖu lµm B¸nh èng.		ThÇn bİ		1	0	1							
L¸ gãi b¸nh	2	1	1130	1	1	9999												\image\item\other\ôÕÒ¶a1.spr	\image\item\other\ôÕÒ¶a0.spr	<color=gold>L¸ gãi b¸nh<color><enter>L¸ sen vµ l¸ sËy th­êng thÊy, dïng lµm B¸nh İt.		ThÇn bİ		1	0	1							
Tróc ®ång	2	1	1131	1	1	9999												\image\item\other\ÖñÍ²a1.spr	\image\item\other\ÖñÍ²a0.spr	<color=gold>Tróc ®ång<color><enter>Mét ®èt tróc, cã thÓ ®ùng thùc vËt, dïng lµm B¸nh èng.		ThÇn bİ		1	0	1							
Hµm Thñy	2	1	1132	1	1	9999												\image\item\other\¼îË®a1.spr	\image\item\other\¼îË®a0.spr	<color=gold>Hµm Thñy<color><enter>Th¶o méc n­íc tro, dïng ®Ó lµm B¸nh İt muèi		ThÇn bİ		1	0	1							
İch Trİ Nh©n	2	1	1133	1	1	9999												\image\item\other\ÒæÖÇÈÊa1.spr	\image\item\other\ÒæÖÇÈÊa0.spr	<color=gold>İch Trİ Nh©n<color><enter>Th¶o d­îc, dïng lµm B¸nh İch Trİ.		ThÇn bİ		1	0	1							
§Ëu ®á	2	1	1134	1	1	9999												\image\item\other\ºì¶¹a1.spr	\image\item\other\ºì¶¹a0.spr	<color=gold>§Ëu ®á<color><enter>§Ëu ®á, dïng lµm B¸nh İt ®Ëu ®á.		ThÇn bİ		1	0	1							
g¹o tr¾ng	2	1	1135	1	1	9999												\image\item\other\°×Ã×a1.spr	\image\item\other\°×Ã×a0.spr	<color=gold>g¹o tr¾ng<color><enter>G¹o tÎ, g¹o nÕp dïng lµm B¸nh İt g¹o tr¾ng.		ThÇn bİ		1	0	1							
Ng·i diÖp	2	1	1136	1	1	9999												\image\item\other\°¬Ò¶a1.spr	\image\item\other\°¬Ò¶a0.spr	<color=gold>Ng·i diÖp<color><enter>Cã c«ng hiÖu ch÷a b¸ch bÖnh, dïng lµm B¸nh İt Ng·i H­¬ng.		ThÇn bİ		1	0	1							
§ïi n­íng	2	1	1137	1	1	9999												\image\item\other\»ğÍÈa1.spr	\image\item\other\»ğÍÈa0.spr	<color=gold>§ïi n­íng<color><enter>Ch©n giß dïng lµm B¸nh İt thŞt n­íng.		ThÇn bİ		1	0	1							
Tóc tö	2	1	1138	1	1	9999												\image\item\other\Àõ×Óa1.spr	\image\item\other\Àõ×Óa0.spr	<color=gold>Tóc tö<color><enter>Cã c«ng hiÖu bæ thËn, cÇm m¸u, dïng lµm B¸nh İt B¸t Böu.		ThÇn bİ		1	0	1							
M¶nh giÊy cña 'Li Tao'	2	1	1139	1	1	1												\image\item\other\ÀëÉ§a1.spr	\image\item\other\ÀëÉ§a0.spr	<color=gold>M¶nh giÊy cña 'Li Tao'<color><enter>GiÊy tay 'Li Tao' cña KhuÊt Nguyªn, kh«ng biÕt t¹i sao xuÊt hiÖn ë ®©y.		§· khãa		1	2	1							
Quyªn Hoa	2	1	1140	1	1	1												\image\item\other\¾î»¨a1.spr	\image\item\other\¾î»¨a0.spr	<color=gold>Quyªn Hoa<color><enter>Quyªn Hoa cña ng­êi b¸i tÕ, göi g¾m nçi th­¬ng nhí cña mäi ng­êi.		§· khãa		1	2	1							
Hép quµ b¸nh İt	2	1	1141	5	10000	1												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	<color=gold>Hép quµ b¸nh İt<color><enter>Chøa nhiÒu b¸nh İt.<enter><color=Gold> (NgÉu nhiªn B¸nh İt g¹o tr¾ng, b¸nh İt Ng·i H­¬ng, b¸nh İt vui vÎ, b¸nh İt may m¾n, b¸nh İt thñy tinh)		ThÇn bİ	\script\item\zong_zi_bag.lua	1	0	1							
MËt lÖnh Së Quèc	2	1	1142	1	0	1												\image\item\other\quest_033a1.spr	\image\item\other\quest_033a0.spr	<color=gold>MËt lÖnh Së Quèc<color><enter>Tİn vËt bİ truyÒn cña ng­êi n­íc Së.<enter><color=Gold> (Chuét ph¶i sö dông, tİn vËt Së Quèc t¨ng 1000)		ThÇn bİ	\script\item\ji_fen_bao.lua	1	0	1							
LÔ héi l× x× vâ l©m	2	1	1143	0	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>LÔ héi l× x× vâ l©m<color><enter>Ng­êi cã Vâ L©m Anh Hïng ThiÕp míi ®­îc nhËn Tói quµ, gióp b¹n t¸i chiÕn giang hå.		§· khãa	\script\item\item_billing\baijinlibao2.lua	1	2	1							
B¶n vÏ ChÕ t¹o Viªm §Õ	2	1	1145	1	0	1												\image\item\other\Éñ±ø¶ÍÍ¼ËéÆ¬a1.spr	\image\item\other\Éñ±ø¶ÍÍ¼ËéÆ¬a0.spr	<color=gold>B¶n vÏ ChÕ t¹o Viªm §Õ<color><enter>B¶n vÏ tèn nhiÒu t©m huyÕt ®Ó t¹o thµnh, ghi nhí vËt liÖu cÇn ®Ó trïng luyÖn trang bŞ Viªm §Õ.<enter><color=Gold> (Chuét ph¶i sö dông, xem sè l­îng vËt liÖu)		ThÇn bİ	\script\item\yandichongzhu.lua	1	0	1							
Viªm Hoµng ThiÕt Hån	2	1	1146	1	0	1												\image\item\other\coll_022a1.spr	\image\item\other\coll_022a0.spr	<color=gold>Viªm Hoµng ThiÕt Hån<color><enter>Nguyªn liÖu cùc quı do Viªm Hoµng nhŞ ®Õ tËp hîp tinh hoa ®Êt trêi, tr¶i qua hµng chôc n¨m míi luyÖn thµnh, lµm vËt phÈm thªm vµo gi¸ trŞ lµ 500, tèi ®a lµ 60000.		NhiÖm vô			0	1							
